CL_SUP6	EZ Vidya Pvt Ltd	Released	EZ Vidya Pvt Ltd
MS_SUP1	EZ Vidya Pvt Ltd -O365 & Online Archieve	Released	EZ Vidya Pvt Ltd
CL_SUP7	EZ Vidya Pvt Ltd-UBX	Released	EZ Vidya Pvt Ltd
CL_SUP3	EZ Vidya- AWS	Released	EZ Vidya Pvt Ltd
SP_SUB_SER5	F5 Server Subs renewal	Released	Royal Sundaram General Insurance Co. Limited
MS_SUP20	Fiber 150 Mbps ILL for 3 years	Released	Infonet Comm Enterprises Pvt Ltd
SI_IMP192	Fortigate-2200E AMC 1 year Renewal	Released	Bangalore International Airport Limited
SI_AMC7	Fortinet Firewall Renewal	Released	TAMILNADU PUBLIC SERVICE COMMISSION
SI_SUP23	Fortinet Firewall supply	Released	Kongunadu Infra Developers
SI_IMP4	Fortinet Firewall upgrade	Released	GKM Global Services Private Limited
SP_SUB_SER2	Fortinet License Renewal	Released	PAANINI, INC
SI_SUP95	FUSO - VMWARE VSphere8 ESSEN KIT- 3Yrs	Released	FUSO GLASS INDIA PVT LTD
SI_PROF_SER23	FY25- 250418	Released	DIGITAL IT INFRA PRIVATE LIMITED
MS_SUP31	GAJAANANDA JEWELLERY MAART INDIA PVT LTD	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP32	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP33	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP34	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP35	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP36	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP37	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
CPSO685	Gajaananda Jewellery Mart India P Ltd	Released	Gajaananda Jewellery Mart India P Ltd
MS_SUP38	Gajaananda Jewellery Mart India P Ltd	Released	GAJAANANDA JEWELLERY MAART INDIA PVT LTD
SI_SUP190	GE Supply	Released	GE Renewable Energy Technologies Pvt Ltd
SI_SUP41	GKM Global HDD	Released	GKM Global Services Private Limited
SI_IMP32	GKNM WiFi & Switch supply & Installation	Released	G.Kuppuswamy Naidu Memorial Hospital
DC_SUP12	Goa  MS Chequered Plate	Released	Larsen & Toubro Limited (Goa)
DC_IMP7	Goa FSS	Released	LARSEN & TOUBRO LIMITED(Bainguinim)
CPSO183	Godrej & Boyce Mfg. Co. Ltd-230004	Released	GODREJ AND BOYCE MFG CO LTD
CL_SUP9	Gyan Ganga Group of Institutions	Released	Gyan Ganga Group of Institutions
CPSO366	Hardware and Software Support	Released	National Remote Sensing Centre Indian Space Research Organiz
DC_CON20	HCS Network Consulting & ITMS Project	Released	Larsen & Toubro Limited (Telangana)
DC_CON16	HCS TPHQ Consulting Project	Released	Larsen & Toubro Limited (Telangana)
SP_IMP23	HCS_VMware_Insttall,Test&Commisiong	Released	Larsen & Toubro Limited (Telangana)
SI_IMP7	HDD replacement @ GKM	Released	GKM Global Services Private Limited
CL_NEW_SUB1	HHCL Azure Services	Released	Hetero Healthcare Limited
SI_AMC54	HP Aruba WLC AMC	Released	Siemens Limited (Maharashtra)
CL_SUP28	IAHR M365 - 250093	Released	International Airport Hotels and Resorts
DC_CON28	ICT & ELV design for Multi-mode Cargo	Released	Meinhardt EPCM (lndia) Private Limited
DC_CON15	ICT & Security Services at Ahmedabad	Released	RSP DESIGN CONSULTANTS (INDIA) PVT LTD
DC_CON24	ICT Consulting for 3 Airports	Released	Meinhardt EPCM (lndia) Private Limited
SI_IMP157	IICC_NEW SUPPLY	Released	Larsen & Toubro Limited (Delhi)
SP_SUP5	IICC-230849	Released	Larsen & Toubro Limited (Tamilnadu)
MS_SEC1	IIM-B -ISO Audit	Released	INDIAN INSTITUTE OF MANAGEMENT BANGALORE
CPSO8	IIM-B-ISOAudit	Released	INDIAN INSTITUTE OF MANAGEMENT BANGALORE
CL_SUP2	IIM-K-AWS Consumption	Released	Indian Institute of Management (Kozhikode)
CPSO153	IISC -Bangalore-210146	Released	Center for Brain Research
SI_IMP68	IIT - Thirupati - SITC	Released	INDIAN INSTITUTE OF TECHNOLOGY TIRUPATI
SI_AMC22	IIT Palakkad - CCTV AMC	Released	Indian Institute of Technology Palakkad
SI_IMP91	IIT-Madras 240097	Released	IITM Pravartak Technologies Foundation
SI_SUP83	IIT-Supply Switches and Cables Bombay	Released	Indian Institute of Technology Bombay
SI_PROF_SER31	IITM Reaserach_Senior Network Engineer	Released	IITM Research Park
SI_IMP80	Imp,Testing & comissioning-230900	Released	7H Business Solutions Private Limited
MS_INFRA1	Indian Institute of Management (IIM-T)	Released	Indian Institute of Management Tiruchirappalli
SI_IMP5	Infonet Comm_Router & L2 switch delivery	Released	Infonet Comm Enterprises Pvt Ltd
SI_IMP64	Infonet DC Migration	Released	Infonet Comm Enterprises Pvt Ltd
DC_AMC6	INS Garuda(CAMC Smart Rack 03 - Vertiv)	Released	Indian Navy - HQSNC Naval Base Kochi
DC_IMP4	Interior work at DSS - PT&D	Released	Larsen & Toubro Limited (Tamilnadu)
SP_IMP50	IOCL - Firewall Migration - 250374	Released	Indian Oil Corporation Limited
SI_SUP5	ISB Mohali	Released	Indian School of Business
DC_CON19	IT Infrastructure Consulting Services	Released	Larsen & Toubro Limited (Telangana)
SI_AMC103	ITCOT-Firewall Licence Renewal-250368	Released	ITCOT Limited
DC_IMP33	ITI DC & SNOC Implemention	Released	ITI Limited
SP_SUB_SER7	Jhansi EMS 4th Renewal - 250101	Released	L&T TECHNOLOGY SERVICES LIMITED - Uttar Pradesh
DC_IMP19	JHANSI SMART CITY - 230925	Released	Larsen & Toubro Limited (Uttar Pradesh)
DC_IMP28	Jhansi Smart City(LCP Compressor - SITC)	Released	L&T TECHNOLOGY SERVICES LIMITED - Uttar Pradesh
SI_IMP14	Karnataka Forest Department-220230	Released	Karnataka Forest Department
SI_IMP38	KFD-230546	Released	Karnataka Forest Department
SI_AMC11	KKNPP Cisco & Checkpoint renewal	Released	Nuclear Power Corporation Of India Ltd.,
MS_SEC2	KPTCL Firewall Renewal and Support AMC	Released	Karnataka Power Transmission Corp ltd
DC_O-M4	KSEB FMS 2 Months(Jul 22 - Aug 22)	Released	Kerala State Electricity Board Limited
DC_O-M3	KSEB FMS 3 Months(Mar 22 - Jun 22)	Released	Kerala State Electricity Board Limited
DC_O-M5	KSEB FMS 3 Months(Sep 22 - Nov 22)	Released	Kerala State Electricity Board Limited
SI_SUP25	Kumaran Firewall supply	Released	KUMARAN GIN AND PRESSING PRIVATE LIMITED
SI_SUP44	L and T Delhi - 210175	Released	Larsen & Toubro Limited (Delhi)
SP_IMP28	L&T - Active Components - T-Fiber	Released	Larsen & Toubro Limited (Telangana)
CPSO163	L&T - INA Vizag -230177	Released	Larsen & Toubro Limited (Andhra Pradesh)
SI_SUP123	L&T - NIC cloud datacenter Red hat	Released	Larsen & Toubro Limited (Odisha)
SP_SUP4	L&T - Supply of LR (Module_2 Nos)_SOC_HQ	Released	Larsen & Toubro Limited (Tamilnadu)
SI_CON8	L&T - T-Fiber - Supply of Manpower	Released	Larsen & Toubro Limited (Telangana)
SP_SUP3	L&T - T2 Additional Switch - 230730	Released	Larsen & Toubro Limited (Karnataka)
SP_IMP16	L&T Additional supply 230281-230005	Released	Larsen & Toubro Limited (Karnataka)
SI_AMC2	L&T AIIMS AMC	Released	Larsen & Toubro Limited (Uttar Pradesh)
SI_IMP133	L&T BSNL Cloudera - 240670	Released	L&T Technology Services Limited (Delhi)
DC_IMP13	L&T HQ(DSS Baffle Ceiling SI)	Released	Larsen & Toubro Limited (Tamilnadu)
SP_AMC8	L&T_AMC of Fortinets Firewall SW License	Released	Larsen & Toubro Limited (Maharashtra)
SP_IMP37	L&T_Server&Storage_Chennai campus	Released	Larsen & Toubro Limited (Tamilnadu)
SP_SUP2	L&T_Supply of Aruba Switches_Faridabad	Released	Larsen & Toubro Limited (Haryana) - Realty Division
SI_SUP49	L&T_Supply_100F_Cyber Defence Center_HQ	Released	Larsen & Toubro Limited (Tamilnadu)
SP_SUP1	L&T_Supply_FG 100 F_Global NOC_HQ	Released	Larsen & Toubro Limited (Tamilnadu)
SP_SUP6	L&T_Supply_SR & LR Modules_2Nos_HQ_NOC	Released	Larsen & Toubro Limited (Tamilnadu)
SP_IMP31	L&T- Deployment_ICT works	Released	Larsen & Toubro Limited (Delhi)
SI_SUP2	L&T- T2- Additional AP Order- 230083	Released	Larsen & Toubro Limited (Karnataka)
SP_IMP13	L&T-T2- Design & Implementation- 230386	Released	Larsen & Toubro Limited (Karnataka)
SI_CON9	L2 Resource - Network Security-240135	Released	Siemens Technology and Services Pvt Ltd.
SI_SUP13	Larsen & Toubro , Manapakkam	Released	Larsen & Toubro Limited (Bihar)
SP_AMC7	Larsen & Toubro , Manapakkam-230009	Released	Larsen & Toubro Limited (Maharashtra)
SI_AMC16	LCC Firewall Renewal	Released	Lakshmi Card Clothing Mfg Company
SI_IMP43	LeasePlan_UCS Server & Flex License	Released	LeasePlan India Private Limited
SI_SUP186	LGB - Corporate Office Aruba Wifi	Released	L.G. BALAKRISHNAN & BROS LIMITED
SI_SUP183	LGB - Pongalur Aruba Wifi	Released	L.G. BALAKRISHNAN & BROS LIMITED
SI_IMP159	LGB - Pongalur Turnstyle	Released	L.G. BALAKRISHNAN & BROS LIMITED
SI_SUP187	LGB- Corp. Office Forti-Analyzer Supply	Released	L.G. BALAKRISHNAN & BROS LIMITED
SI_IMP120	LGB-SITC of Active & Passive Components	Released	L.G.BALAKRISHNAN & BROS LIMITED NAGPUR PLANT - ICD
SP_IMP29	LIAL- MTCS -230427	Released	Lucknow International Airport Ltd
